site_name,site_id,latitude,longitude,entity_id,entity_name,sample_id,depth_sample,interp_age,d13C_measurement
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295149,636.6,11602,-7.37
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295150,640,11583,-7.81
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295151,643.3,11565,-7.18
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295152,646.6,11546,-7.52
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295153,650,11527,-8.4
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295154,653.3,11508,-8.27
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295155,656.6,11490,-7.91
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295156,660,11471,-8
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295157,663.3,11452,-7.77
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295158,664,11448,-7.7
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295159,666.6,11434,-7.64
Chauvet cave,77,44.23,4.26,166,Chau-stm6,295160,670,11415,-8.35
Pindal cave,87,43.4,-4.53,180,Candela,83336,192,11640.32325,-2.99
Pindal cave,87,43.4,-4.53,180,Candela,83337,193,11660.68054,-3.182
Pindal cave,87,43.4,-4.53,180,Candela,83338,194,11681.03783,-3.355
Pindal cave,87,43.4,-4.53,180,Candela,83339,195,11701.39512,-4.023
Pindal cave,87,43.4,-4.53,180,Candela,83340,196,11721.75241,-4.16
Pindal cave,87,43.4,-4.53,180,Candela,83341,197,11742.1097,-6.54
Pindal cave,87,43.4,-4.53,180,Candela,83342,198,11762.46699,-6.989
Pindal cave,87,43.4,-4.53,180,Candela,83343,199,11782.82428,-4.444
Pindal cave,87,43.4,-4.53,180,Candela,83344,200,11803.18158,-6.052
Pindal cave,87,43.4,-4.53,180,Candela,83345,201,11823.53887,-4.892
Pindal cave,87,43.4,-4.53,180,Candela,83346,202,11843.89616,-4.9
Pindal cave,87,43.4,-4.53,180,Candela,83347,203,11864.25345,-4.595
Pindal cave,87,43.4,-4.53,180,Candela,83348,204,11884.61074,-5.811
Pindal cave,87,43.4,-4.53,180,Candela,83349,205,11904.96803,-5.807
Pindal cave,87,43.4,-4.53,180,Candela,83350,206,11925.32532,-5.433
Pindal cave,87,43.4,-4.53,180,Candela,83351,207,11945.68261,-5.14
Pindal cave,87,43.4,-4.53,180,Candela,83352,208,11966.0399,-5.415
Pindal cave,87,43.4,-4.53,180,Candela,83353,209,11986.39719,-5.054
Pindal cave,87,43.4,-4.53,180,Candela,83354,210,12006.75448,-4.753
Pindal cave,87,43.4,-4.53,180,Candela,83355,211,12027.11177,-6.14
Pindal cave,87,43.4,-4.53,180,Candela,83356,212,12047.46906,-5.61
Pindal cave,87,43.4,-4.53,180,Candela,83357,213,12067.82635,-6.499
Pindal cave,87,43.4,-4.53,180,Candela,83358,214,12088.18364,-6.334
Pindal cave,87,43.4,-4.53,180,Candela,83359,215,12108.54093,-7.189
Pindal cave,87,43.4,-4.53,180,Candela,83360,216,12128.89822,-4.988
Pindal cave,87,43.4,-4.53,180,Candela,83361,217,12149.25551,-6.19
Pindal cave,87,43.4,-4.53,180,Candela,83362,218,12169.6128,-5.485
Pindal cave,87,43.4,-4.53,180,Candela,83363,219,12189.97009,-4.847
Pindal cave,87,43.4,-4.53,180,Candela,83364,220,12210.32738,-6.497
Pindal cave,87,43.4,-4.53,180,Candela,83365,221,12230.68467,-5.147
Pindal cave,87,43.4,-4.53,180,Candela,83366,232,12454.61487,-4.8
Pindal cave,87,43.4,-4.53,180,Candela,83367,233,12474.97216,-4.708
Pindal cave,87,43.4,-4.53,180,Candela,83368,234,12495.32945,-6.469
Pindal cave,87,43.4,-4.53,180,Candela,83369,235,12515.68674,-3.173
Pindal cave,87,43.4,-4.53,180,Candela,83370,236,12536.04403,-5.829
Pindal cave,87,43.4,-4.53,180,Candela,83371,237,12556.40132,-3.7
Pindal cave,87,43.4,-4.53,180,Candela,83372,237.5,12584.74096,-6.027
Pindal cave,87,43.4,-4.53,180,Candela,83373,238,12613.0806,-3.785
Pindal cave,87,43.4,-4.53,180,Candela,83374,238.5,12641.42024,-3.936
Pindal cave,87,43.4,-4.53,180,Candela,83375,239,12669.75987,-4.074
Pindal cave,87,43.4,-4.53,180,Candela,83376,239.5,12698.09951,-4.954
Pindal cave,87,43.4,-4.53,180,Candela,83377,240,12726.43915,-5.151
Pindal cave,87,43.4,-4.53,180,Candela,83378,240.5,12754.77879,-6.594
Pindal cave,87,43.4,-4.53,180,Candela,83379,241,12783.11843,-6.219
Pindal cave,87,43.4,-4.53,180,Candela,83380,241.5,12811.45807,-5.991
Pindal cave,87,43.4,-4.53,180,Candela,83381,242,12839.79771,-7.88
Pindal cave,87,43.4,-4.53,180,Candela,83382,242.5,12848.33282,-5.105
Pindal cave,87,43.4,-4.53,180,Candela,83383,243,12856.86794,-5.375
Pindal cave,87,43.4,-4.53,180,Candela,83384,243.5,12865.40305,-4.832
Pindal cave,87,43.4,-4.53,180,Candela,83385,244,12873.93817,-5.147
Pindal cave,87,43.4,-4.53,180,Candela,83386,244.5,12882.47328,-4.546
Pindal cave,87,43.4,-4.53,180,Candela,83387,245,12891.0084,-5.077
Pindal cave,87,43.4,-4.53,180,Candela,83388,245.5,12899.54351,-4.296
Pindal cave,87,43.4,-4.53,180,Candela,83389,246,12908.07862,-6.239
Pindal cave,87,43.4,-4.53,180,Candela,83390,246.5,12916.61374,-6.064
Pindal cave,87,43.4,-4.53,180,Candela,83391,247,12925.14885,-6.11
Pindal cave,87,43.4,-4.53,180,Candela,83392,247.5,12933.68397,-8.227
Pindal cave,87,43.4,-4.53,180,Candela,83393,248,12942.21908,-8.467
Pindal cave,87,43.4,-4.53,180,Candela,83394,248.5,12950.7542,-9.207
Pindal cave,87,43.4,-4.53,180,Candela,83395,249,12959.28931,-9.266
Pindal cave,87,43.4,-4.53,180,Candela,83396,249.5,12967.82443,-9.234
Pindal cave,87,43.4,-4.53,180,Candela,83397,250,12976.35954,-9.439
Pindal cave,87,43.4,-4.53,180,Candela,83398,250.5,12984.89466,-8.673
Pindal cave,87,43.4,-4.53,180,Candela,83399,251,12993.42977,-8.475
Pindal cave,87,43.4,-4.53,180,Candela,83400,252,13010.5,-8.66
Pindal cave,87,43.4,-4.53,180,Candela,83401,252.5,13036.025,-9.021
Pindal cave,87,43.4,-4.53,180,Candela,83402,253,13061.55,-7.019
Pindal cave,87,43.4,-4.53,180,Candela,83403,253.5,13087.075,-6.696
Pindal cave,87,43.4,-4.53,180,Candela,83404,254,13112.6,-7.292
